node,num_cycles
Hypertension,591
Inflammation,411
Atherosclerosis,320
Diabetes,303
Insulin_Resistance,284
Endothelial_dysfunction,276
Alzheimers,270
Obesity,255
Hyperglycemia,195
Cardiovascular_Diseases,162
Heart_failure,88
Cerebrovascular_accident,82
Myocardial_Infarction,82
Diabetes_Mellitus_Non_Insulin_Dependent,52
Degenerative_abnormality,35
Kidney_Diseases,21
Kidney_Failure_Chronic,16
Hypoxia,14
Ischemia,14
Chronic_inflammation,14
Pathogenesis,14
Vascular_Diseases,14
Kidney_Failure,9
Apoptosis,4
Diabetic_Nephropathy,3
Autophagy,2
Cell_Death,2
Hyperinsulinism,2
Parkinson_Disease,2
Coronary_Arteriosclerosis,2
Diabetes_Mellitus,2
Hypertrophy,2
Cell_Cycle_Arrest,1
Neoplasm,1
Malignant_Neoplasms,1
Neurofibrillary_Tangles,1
Abnormal_renal_function,1
Arteriosclerosis,1
Atrial_Fibrillation,1
Cardiac_Hypertrophy,1
Cardiomyopathies,1
Chronic_Kidney_Diseases,1
Essential_Hypertension,1
Fetal_Growth_Retardation,1
Fibrosis,1
Heart_Diseases,1
Myocardial_Ischemia,1
Metabolic_syndrome,1
Pre_Eclampsia,1
Renal_Insufficiency,1
Spastic_syndrome,1
Stiffness,1
Amyloid_deposition,1
Atrophic,1
Cerebral_atrophy,1
Neurodegenerative_Disorders,1
