confounder,n_confounder_parents,confounder_parents,is_butterfly
Agent,0,,False
Antioxidants,0,,False
Diet,0,,False
Genes,0,,False
IMPACT_gene,0,,False
Injection_procedure,0,,False
Intestinal_Microbiome,0,,False
Lipopolysaccharides,0,,False
MicroRNAs,0,,False
Mutation,0,,False
Nitric_Oxide,0,,False
Pharmaceutical_Preparations,0,,False
Polymorphism_Genetic,0,,False
Process,0,,False
Proteins,0,,False
Reactive_Oxygen_Species,0,,False
Streptozocin,0,,False
Study_models,0,,False
Therapeutic_procedure,0,,False
imbalance,0,,False
receptor,0,,False
