"node","in_degree","out_degree","total_degree","betweenness","edges_removed","scc_nodes_before","scc_nodes_after","scc_node_reduction","largest_scc_before","largest_scc_after"
"Disease",974,340,1314,0.063853680996462,1314,315,258,57,302,243
"Diagnosis",37,4,41,0.000617331356407709,41,315,306,9,302,293
"Symptoms",164,43,207,0.00341996753611548,207,315,307,8,302,294
"Complication",305,36,341,0.00595619198333074,341,315,308,7,302,295
"Obstruction",87,79,166,0.00633868907052624,166,315,311,4,302,298
"Functional_disorder",199,59,258,0.00325720900894268,258,315,312,3,302,299
"Syndrome",141,45,186,0.00289130644186742,186,315,313,2,302,300
"Adverse_effects",200,10,210,0.0024044299461145,210,315,314,1,302,301
"Growth",65,0,65,0,65,315,315,0,302,302
"Agent",0,89,89,0,89,315,315,0,302,302
"Therapeutic_procedure",0,253,253,0,253,315,315,0,302,302
"Injury",248,135,383,0.00519954745173359,383,315,315,0,302,302
"Genes",0,155,155,0,155,315,315,0,302,302
"Study_models",0,104,104,0,104,315,315,0,302,302
"Proteins",0,95,95,0,95,315,315,0,302,302
"Pharmaceutical_Preparations",0,269,269,0,269,315,315,0,302,302
"Virus",0,118,118,0,118,315,315,0,302,302
