"from","to","confounder"
"Inflammation","Hypertension","Chronic_inflammation"
"Inflammation","Alzheimers","Chronic_inflammation"
"Inflammation","Obesity","Chronic_inflammation"
"Hypertension","Inflammation","Chronic_inflammation"
"Hypertension","Alzheimers","Chronic_inflammation"
"Hypertension","Obesity","Chronic_inflammation"
"Alzheimers","Inflammation","Chronic_inflammation"
"Obesity","Inflammation","Chronic_inflammation"
"Obesity","Hypertension","Chronic_inflammation"
"Obesity","Alzheimers","Chronic_inflammation"
"Obesity","Chronic_inflammation","Chronic_inflammation"
"Chronic_inflammation","Hypertension","Chronic_inflammation"
"Chronic_inflammation","Alzheimers","Chronic_inflammation"
"Chronic_inflammation","Obesity","Chronic_inflammation"
