confounder,n_edges,n_edges_with_evidence,n_pmids,n_sentences
Oxidative_Stress,3,3,338,1399
Toxic_effect,3,3,74,235
Degenerative_abnormality,8,8,210,773
Inflammation,5,5,223,868
Inflammatory_Response,19,19,813,2607
Diabetes,10,10,439,1671
Obesity,10,10,1410,5102
Chronic_inflammation,14,14,1619,5759
Insulin_Resistance,7,7,243,881
Ischemia,10,10,411,1446
Hypoxia,7,7,282,1205
imbalance,13,13,607,2088
Antioxidants,3,3,54,190
Vascular_Diseases,9,9,288,991
Mutation,3,3,431,1525
Diet,3,3,292,1426
Pathogenesis,7,7,153,454
IMPACT_gene,3,3,37,63
Injection_procedure,3,3,88,322
Intestinal_Microbiome,3,3,53,137
Lipopolysaccharides,3,3,43,124
MicroRNAs,3,3,63,155
Nitric_Oxide,3,3,115,445
Polymorphism_Genetic,3,3,40,67
Process,3,3,302,1024
Reactive_Oxygen_Species,3,3,69,250
Streptozocin,3,3,186,868
receptor,3,3,64,211
