"parent","child","path_length","relationship_type"
"Antioxidants","Oxidative_Stress",1,"direct"
"Diet","Oxidative_Stress",1,"direct"
"IMPACT_gene","Oxidative_Stress",1,"direct"
"Lipopolysaccharides","Oxidative_Stress",1,"direct"
"Nitric_Oxide","Oxidative_Stress",1,"direct"
"Reactive_Oxygen_Species","Oxidative_Stress",1,"direct"
"Streptozocin","Oxidative_Stress",1,"direct"
"receptor","Oxidative_Stress",1,"direct"
"Antioxidants","Toxic_effect",1,"direct"
"Diet","Toxic_effect",1,"direct"
"IMPACT_gene","Toxic_effect",1,"direct"
"Lipopolysaccharides","Toxic_effect",1,"direct"
"Nitric_Oxide","Toxic_effect",1,"direct"
"Reactive_Oxygen_Species","Toxic_effect",1,"direct"
"Streptozocin","Toxic_effect",1,"direct"
"Diet","Inflammatory_Response",1,"direct"
"Injection_procedure","Inflammatory_Response",1,"direct"
"Lipopolysaccharides","Inflammatory_Response",1,"direct"
"Reactive_Oxygen_Species","Inflammatory_Response",1,"direct"
"receptor","Inflammatory_Response",1,"direct"
"Injection_procedure","Chronic_inflammation",1,"direct"
"Lipopolysaccharides","Chronic_inflammation",1,"direct"
"Reactive_Oxygen_Species","Chronic_inflammation",1,"direct"
"Mutation","imbalance",1,"direct"
"Lipopolysaccharides","imbalance",1,"direct"
"Reactive_Oxygen_Species","imbalance",1,"direct"
