"original","safe"
"1_4_dioxin","n1_4_dioxin"
"1_Methyl_4_phenyl_1_2_3_6_tetrahydropyridine","n1_Methyl_4_phenyl_1_2_3_6_tetrahydropyridine"
"1_Methyl_4_phenylpyridinium","n1_Methyl_4_phenylpyridinium"
"1_Naphthylisothiocyanate","n1_Naphthylisothiocyanate"
"2019_novel_coronavirus","n2019_novel_coronavirus"
"20_hydroxy_5_8_11_14_eicosatetraenoic_acid","n20_hydroxy_5_8_11_14_eicosatetraenoic_acid"
"21_hydroxylase_deficiency","n21_hydroxylase_deficiency"
"2_2_azobis_2_amidinopropane","n2_2_azobis_2_amidinopropane"
"2_Acetylaminofluorene","n2_Acetylaminofluorene"
"2_amino_1_methyl_6_phenylimidazo_4_5_b_pyridine","n2_amino_1_methyl_6_phenylimidazo_4_5_b_pyridine"
"3MC","n3MC"
"3_4_Methylenedioxyamphetamine","n3_4_Methylenedioxyamphetamine"
"3_nitropropionic_acid","n3_nitropropionic_acid"
"4_Nitroquinoline_1_oxide","n4_Nitroquinoline_1_oxide"
"4_hydroxy_2_nonenal","n4_hydroxy_2_nonenal"
"8_Hydroxy_2_di_n_propylamino_tetralin","n8_Hydroxy_2_di_n_propylamino_tetralin"
"9_10_Dimethyl_1_2_benzanthracene","n9_10_Dimethyl_1_2_benzanthracene"
"3_Methylglutaconic_aciduria_type_2","n3_Methylglutaconic_aciduria_type_2"
